content,clean_content,kmeans_cluster,pca_x,pca_y,hdbscan_cluster
"Absolutely priceless application, I would recommend this app to anyone. after you piece together a good strategy, It makes all the chart calculations for you. You can overlay multiple indicators and that is a great feature, but the best thing with this application is that it is completely customizable and can perfectly calculate profitable strategic methods for quick cash instantly with the live chart of which can also be customized. Great application guys, keep up the good work, take care :)",absolutely priceless application would recommend anyone piece together good strategy makes chart calculations overlay multiple indicators great feature best thing application completely customizable perfectly calculate profitable strategic methods quick cash instantly live chart also customized great application guys keep good work take care,0,0.41398832,-0.09805932,1
"I have been using trading view for about five years now. The seamless connectivity between my desktop app, the web version, my iPad, and the mobile app is what I like most about this app. I can update my drawings on a chart and it syncs on every version while it doesn't change what I may be viewing on a different version. Ideal for trading on the go.",using trading view five years seamless connectivity desktop web version ipad mobile like update drawings chart syncs every version change may viewing different version ideal trading go,0,0.2734812,-0.1610537,-1
The app is amazing. I watch the market and make predictions on here before entering numbers on the mt4. This app is so much smoother and easier to read than the mt4 charts. There are also a ton of helpful features to utilize. I am thinking of upgrading to the paid version simply for the alerts but other than that the free version is amazing,amazing watch market make predictions entering numbers mt much smoother easier read mt charts also ton helpful features utilize thinking upgrading paid version simply alerts free version amazing,0,0.36462745,-0.03284038,1
"The best choice for new crypto traders, with the features experienced traders want, some unexpected functionality and subtitle, delightful elements. The UI is intuitive and immediately beneficial without any instruction. The integrated encyclopedia of trading concepts, tools, and how-to's is a phenomenonal resource; it's monster alpha. The basic plan is generous, making the Essential plan seem pointless. If you're an active trader, the Premium plan is the goto that continuously pays dividends",best choice new crypto traders features experienced traders want unexpected functionality subtitle delightful elements ui intuitive immediately beneficial without instruction integrated encyclopedia trading concepts tools howtos phenomenonal resource monster alpha basic plan generous making essential plan seem pointless active trader premium plan goto continuously pays dividends,0,0.5267738,-0.007815286,-1
"Outstanding in every way. This app is everything I was looking for and more. Trading View is the grand unifying trading app, providing a superior view of *every* sort of market you might be into, all at once. I'm able to watch crypto, stocks, precious metals and FOREX simultaneously, all with the same indicator setups and notifications, or a different setup for each. I'll never leave this app! This is superior to any individual exchange's app; it beats all of them together at the same time!",outstanding every way everything looking trading view grand unifying trading providing superior view every sort market might able watch crypto stocks precious metals forex simultaneously indicator setups notifications different setup never leave superior individual exchanges beats together time,0,0.3881037,-0.04627651,1
"Feb 2023 update: no more issues, 5 stars for me but ---------- Price inconsistencies and settings amnesia. I love this app, however lately I have 2 gripes with it. Depending on the timeframe I select, it's showing different prices for BTC (by more than $100). Also, I always set my chart background to dark black and it never remembers that specific setting even though I am saving it.",feb update issues stars price inconsistencies settings amnesia love however lately gripes depending timeframe select showing different prices btc also always set chart background dark black never remembers specific setting even though saving,3,-0.3972576,-0.11749731,-1
"Bring back the News by Watchlist button on the right side bar that was previously below the Alarms button on the desktop version was removed and now news flow is located in the bottom of the technicals window, which I minimize so I can see more of my watchlist, so I have to drill down to keep finding news. Also keep the lightning bolt on the chart for specific news - that is great, however just move it 1 bar to the right so it doesn't cover the current days' volume bar or make it opaque.Thanks!",bring back news watchlist button right side bar previously alarms button desktop version removed news flow located bottom technicals window minimize see watchlist drill keep finding news also keep lightning bolt chart specific news great however move bar right cover current days volume bar make opaquethanks,1,-0.1345013,0.13515238,-1
"I love all of the options with Tradingview. My only complaint is that there is no EA option without connecting to MT4 through PineScript, which isn't really a problem. However, there is a learning curve as you have to learn both platforms as well as become very proficient with Tradingview as well. Yet and still, it's a very good platform with lots of options.",love options tradingview complaint ea option without connecting mt pinescript really problem however learning curve learn platforms well become proficient tradingview well yet still good platform lots options,2,0.13175754,-0.0025195368,-1
"I'm not even sure if I would know how to chart if it wasn't for trading view. I used to have to ask people for their opinions or for support levels and such. But TV made the game much more fun. I have to limit my time on charts now, because I can just study them all night until I force myself to shut it down, especially during a hot streak, like this bull season taking off.",even sure would know chart trading view used ask people opinions support levels tv made game much fun limit time charts study night force shut especially hot streak like bull season taking,0,0.3799808,-0.2049495,-1
"Sometimes there's a little lag when I'm trying to set up an alert (takes several seconds after hitting the 'plus' symbol), but it's a very small annoyance in an otherwise great app! I'm a light user, and mobile version can do pretty much everything the desktop can. I look at it way too much tbh XD",sometimes little lag trying set alert takes several seconds hitting plus symbol small annoyance otherwise great light user mobile version pretty much everything desktop look way much honest xd,1,-0.18823351,0.26959744,-1
"I love this app! I have used it almost everyday for the last 3 years and I can honestly say I haven't had any major issues. The feature (too many to name) are top notched, editable and customisable. There is a slight learning curve but over all very easy to use. You will get a lot out of this app as it relates to the markets. And if you put the time and effort in to it, you will learn something from it as well.",love used almost everyday last years honestly say major issues feature many name top notched editable customisable slight learning curve easy use get lot relates markets put time effort learn something well,2,0.40413722,0.20312409,-1
"I really like this app and just upgraded to a paid plan. I find it worth it. Great job all the way around. Just wondering if integrating the stock screener into the app is in the works? I know you can open a browser on your phone and navigate home to get to the screener etc, it just would nice to have a button in the app. Regardless, great product!",really like upgraded paid plan find worth great job way around wondering integrating stock screener works know open browser phone navigate home get screener etc would nice button regardless great product,2,-0.025121015,0.3767465,-1
"Everything you could want in a TA app and that is not even including the best part of the expirence which is the community. The community indicators and ideas\tutorials is one of the best parts of trading view. The only improvement I can think of would be to include even more of the desktop expirence (fundamentals\screeners). Overall, has replaced any other watchlist\TA apps",everything could want ta even including best part expirence community community indicators ideastutorials one best parts trading view improvement think would include even desktop expirence fundamentalsscreeners overall replaced watchlistta apps,2,0.26234522,0.21506475,-1
A must have for trading! The only thing I would say that keeps it from 5 stars is 50% of the time when I'm using the app on my phone there seems to be some lag particularly in the pre market and after hours. On other apps on my tablet I get a much better view of the real-time data which is very important if you trade in that time frame.,must trading thing would say keeps stars time using phone seems lag particularly pre market hours apps tablet get much better view realtime data important trade time frame,0,0.24133107,-0.016949387,-1
"I like it very much. In2022, I subscribed to premium membership and I don't know how I could trade without checking tradingview app first. Support is also excellent. One improvement I'm waiting for is a unique notification sound for my alerts on my mobile phone so I don't miss an important alert lost among the many notifications on my device.",like much subscribed premium membership know could trade without checking tradingview first support also excellent one improvement waiting unique notification sound alerts mobile phone miss important alert lost among many notifications device,2,0.22585239,0.084063955,1
"Works great,you can get data packages for real-time and sync with a broker if you choose,you can also use it as is for free if you only need stock data or the delayed for other products is okay for you,I've also have never had any problems with the app,no crashes,no nothing it works great.",works greatyou get data packages realtime sync broker chooseyou also use free need stock data delayed products okay youi also never problems appno crashesno nothing works great,2,0.24207024,0.13380122,1
"I have over 1700 followers on Tradingview and I use the Basic Free plan. I always have, Real traders dont need to pay for ad on features. That's only for the novice. They took away the 3 indicators and reduced it to only 2 free indicators. The ads are annoying as well. Also when you're followers grow, and as you post more charts the algorithms will pick up your sentiment and can trade against your positions. Which is why a lot folks have left the app, and more seasoned traders post less content.",followers tradingview use basic free plan always real traders need pay ad features novice took away indicators reduced free indicators ads annoying well also followers grow post charts algorithms pick sentiment trade positions lot folks left seasoned traders post less content,0,0.38066414,0.05736674,1
Awesome to be able to view charting I made on the desktop while out and about. Many features are difficult to use or find on the mobile platform. Update: Improvements to the app and an upgraded phone with stylus option now makes it easy to markup charts while away from my desktop.,awesome able view charting made desktop many features difficult use find mobile platform update improvements upgraded phone stylus option makes easy markup charts away desktop,3,-0.044738736,-0.07047839,-1
"Great app! The more I use it the more I find it capable of. The power of the tools are amazing. 20 years ago only the highest level of traders on wall street had acres to this level of charting. Now it is available for all, as a free program. The community is also second to none, I've learned so much in the last year. The work people put out is truly amazing, sharing the years of experience they bring to the table. Thanks for giving the peasants access to the king's treasury!",great use find capable power tools amazing years ago highest level traders wall street acres level charting available free program community also second none learned much last year work people put truly amazing sharing years experience bring table thanks giving peasants access kings treasury,0,0.43305546,-0.08493307,1
The best ever app to trade any financial market or asset. I have tested in past two decades every existing system platform and this one is the most flexible easy and most definitely practical. Anyone from a novice to experienced pro can benefit. Trust me it's worth paying for this service that's way better than many high touted platforms.,best ever trade financial market asset tested past two decades every existing system platform one flexible easy definitely practical anyone novice experienced pro benefit trust worth paying service way better many high touted platforms,0,0.52551126,0.12842938,-1
"""Best Charting Platform Ever! TradingView has completely transformed my trading experience! The app's sleek design, real-time data, and vast array of indicators make it an indispensable tool for any trader. The community features are also incredibly valuable, with insightful ideas and discussions. Highly recommended! 5 stars isn't enough - keep up the fantastic work!""",best charting platform ever tradingview completely transformed trading experience apps sleek design realtime data vast array indicators make indispensable tool trader community features also incredibly valuable insightful ideas discussions highly recommended stars enough keep fantastic work,0,0.47158495,-0.32001188,-1
"TradingView is an exceptional platform for both beginner and experienced traders. The app stands out due to its user-friendly interface and an extensive range of tools that cater to all kinds of traders, whether you're into stocks, crypto, or forex. The charting features are top-notch, with customizable indicators, drawing tools, and the ability to analyze multiple timeframes easily. One of the highlights is the social aspect",tradingview exceptional platform beginner experienced traders stands due userfriendly interface extensive range tools cater kinds traders whether stocks crypto forex charting features topnotch customizable indicators drawing tools ability analyze multiple timeframes easily one highlights social aspect,0,0.52994686,-0.25819778,-1
"I don’t usually write reviews, but TradingView really deserves one. It’s hands down the best trading platform I’ve used. The app is snappy, the UX is fantastic both on mobile and desktop, and the charting tools are top-tier. Performance is rock solid and everything just works smoothly. The only downside is that some important features are locked behind a subscription. That can be limiting if you're still growing as a trader. But if you're more advanced, the paid version is absolutely worth it.",usually write reviews tradingview really deserves one hands best trading platform used snappy ux fantastic mobile desktop charting tools toptier performance rock solid everything works smoothly downside important features locked behind subscription limiting still growing trader advanced paid version absolutely worth,0,0.4464685,-0.076462574,1
"I've been using Tradingview for crypto trading for about a year. It has a wide range of cryptocurrencies available. Adding indicators, trend lines, etc is relatively easy and make the phone app a reasonable analytical alternative to the desktop. My only real issue is it would be nice if more crypto exchanges that are connected to Tradingview were available in Canada. That's a relatively small considerations. All in all, its a great platform! Cheers and thank you!",using tradingview crypto trading year wide range cryptocurrencies available adding indicators trend lines etc relatively easy make phone reasonable analytical alternative desktop real issue would nice crypto exchanges connected tradingview available canada relatively small considerations great platform cheers thank,0,0.4442696,-0.13220173,1
"At one point, when we wanted to delete all the drawn lines in the chart, a message was displayed asking if we wanted to delete the locked shapes as well. And it was a very good option. Unfortunately, I had mistakenly selected the other option, Don't ask me this question, and now it deletes all the locked and unlocked drawings together. How can I reset this option so that only unlocked shapes are deleted from the chart?",one point wanted delete drawn lines chart message displayed asking wanted delete locked shapes well good option unfortunately mistakenly selected option ask question deletes locked unlocked drawings together reset option unlocked shapes deleted chart,3,-0.2961596,-0.09807961,0
"Love Trading View, however in the last few days/weeks I've noticed my widget is throwing an error notification every time I try to update it with the most recent prices. ""Oops, something wrong"". Great app, great platform.",love trading view however last daysweeks noticed widget throwing error notification every time try update recent prices oops something wrong great great platform,3,-0.13909595,-0.1652205,0
"Trading view is a very good app and desktop app. The charts are excellent, interface very intuitive. However,I think for the price they can add more features like scanners on the phone app, news alerts, there should also be the option to add a news column to the scanner chart, also, for the premium price there should definitely be a level 2 chart and time & sales tape, especially when you are paying for market data separately. these features will take TV to the next level.",trading view good desktop charts excellent interface intuitive howeveri think price add features like scanners phone news alerts also option add news column scanner chart also premium price definitely level chart time sales tape especially paying market data separately features take tv next level,0,0.38859105,-0.12829934,-1
trading view is the best trading analysis app you can find out there even without the premium package. when you now unlock the premium package everything becomes bread. it's got literally every tools you need both for trading and teaching.,trading view best trading analysis find even without premium package unlock premium package everything becomes bread got literally every tools need trading teaching,0,0.36349604,0.084875286,1
"TradingView is hands down the best charting app out there! Super clean interface, fast performance, and powerful tools for all levels of traders. I love the custom alerts, indicators, and the active community. Whether you're a beginner or a pro, this app has everything you need. 5 stars well deserved!",tradingview hands best charting super clean interface fast performance powerful tools levels traders love custom alerts indicators active community whether beginner pro everything need stars well deserved,0,0.5178422,-0.1931966,-1
"Extremely intuitive, user friendly, and highly customizable. The data is accurate and real time down to the lowest time frame I can access at my subscription level. Awesome charting tools.",extremely intuitive user friendly highly customizable data accurate real time lowest time frame access subscription level awesome charting tools,0,0.4051332,-0.20470777,-1
"Trading view is the standard. If you use anything else, you're just eating up time until you need the real thing, TradingView. The app is very good. Super close to the site and quotes are useful on the go. Get er done! 😁",trading view standard use anything else eating time need real thing tradingview good super close site quotes useful go get er done,0,0.5297153,-0.0398172,-1
"I've been using the TradingView app for over a year now, and it's hands-down one of the best tools available for traders and investors. The user interface is clean, intuitive, and packed with powerful features. The charting capabilities are second to none—highly customizable, with a wide range of indicators and drawing tools to suit both beginners and advanced traders.",using tradingview year handsdown one best tools available traders investors user interface clean intuitive packed powerful features charting capabilities second none—highly customizable wide range indicators drawing tools suit beginners advanced traders,0,0.3584278,-0.3367911,-1
"i think it's the best platform for analysing charts ,but I think it would be very much better if it can provide real time price or value of symbol widgets ,i.e we can add eur usd symbol to home screen or lock screen and can see what's happening so we didn't need to check again and again by opening application,it would really save a lot of time ,but I think it's very much hard to do practically but I got that so I thought it would be better to tell you,now it's all upon you ,😊",think best platform analysing charts think would much better provide real time price value symbol widgets ie add eur usd symbol home screen lock screen see happening need check opening applicationit would really save lot time think much hard practically got thought would better tell younow upon,0,0.34991926,-0.26452228,-1
"⭐⭐⭐⭐⭐ I'm giving TradingView a full 5-star review! TradingView is an excellent app for traders. Its features and tools are very advanced and easy to use. The charts, indicators, and signal accuracy are outstanding. It’s a powerful platform that provides great support for decision-making. The deposit and withdrawal processes are smooth, and overall, it's a reliable app for serious traders. Highly recommended — truly deserves 5 stars!🤳🤳🇵🇰🇵🇰🤳👍",giving tradingview full star review tradingview excellent traders features tools advanced easy use charts indicators signal accuracy outstanding powerful platform provides great support decisionmaking deposit withdrawal processes smooth overall reliable serious traders highly recommended — truly deserves stars,0,0.50258476,-0.1521303,-1
"The BEST app for any trader. I mean any. From Stocks, Crypto, Bonds, Forex, Indices, Futures this app is the one for the job. I also really love the fact that it's completely free, even though they do send a lot of ads,which makes it harder to enter a trade at the right moment. TradingView also has EVERY tool you need, so everyone who's starting trading should analyse with it. They also added a community tab, so I'm hoping it's gonna be useful as well :D. W TradingView W Trading xD",best trader mean stocks crypto bonds forex indices futures one job also really love fact completely free even though send lot adswhich makes harder enter trade right moment tradingview also every tool need everyone starting trading analyse also added community tab hoping going useful well w tradingview w trading xd,0,0.43392867,0.020039484,1
I was able to seamlessly creat ratio charts. for example gld/slv. that functionality seems completely gone on mobile? what happened?? please fix our elaborate. this Broke are an update. edit: problem fixed. thanks. love this app.,able seamlessly creat ratio charts example gldslv functionality seems completely gone mobile happened please fix elaborate broke update edit problem fixed thanks love,3,-0.22444783,-0.18402532,0
"I have a super idea for our platform, Why don’t we do that we select any candle and change its time frame into smaller parts, like we can select a one hour candle and break it into several parts so that we can see if there has been a big movement, was there any news or technical reason behind it, ""It is important to do this because the entire chart has to be rotated when the time changes"" Thanks",super idea platform select candle change time frame smaller parts like select one hour candle break several parts see big movement news technical reason behind important entire chart rotated time changes thanks,0,0.093591735,-0.18860377,-1
"amazing app that gives you all the info you need about a whole market possible. I've been using it already for several years as a free version, and it's plenty enough for me. if you're an expert in trading, it's definitely worth paying a subscription.",amazing gives info need whole market possible using already several years free version plenty enough expert trading definitely worth paying subscription,0,0.5032764,0.03754595,-1
"My experience with the TradingView app has been great and wonderful. I remember when I first downloaded the app, I was overwhelmed by the interface. Just like in life, there are green days and red days, same with the app, there are ups and downs, but the issues (red days) don't last long - thanks to the quick response of the Maintenance team. Overall, it's a wonderful app, and I think it's the best out there.",experience tradingview great wonderful remember first downloaded overwhelmed interface like life green days red days ups downs issues red days last long thanks quick response maintenance team overall wonderful think best,0,0.41806766,0.05166855,1
"Edited: TradingView is arguably the best for chart analysis but recently I'm having serious issues with my trading chartviews not properly fitting to my screen both on my PC (web) and mobile phone (app). Updated: Somehow, i must have clicked on ""lock price to bar ratio"" unknowingly which was why i had an issue with my display. I struggled enough to figure that out eventually and after unselecting the option i was able to use the ""autofit data to screen"" feature and everything looks sweet now!",edited tradingview arguably best chart analysis recently serious issues trading chartviews properly fitting screen pc web mobile phone updated somehow must clicked lock price bar ratio unknowingly issue display struggled enough figure eventually unselecting option able use autofit data screen feature everything looks sweet,3,-0.108373865,-0.36296913,-1
"TradingView is an essential tool for traders and analysts. The charting features, indicators, and customization options are top-notch. The community insights and real-time data make market analysis much easier. However, it would be great to see improvements in speed and more advanced alerts for free users. Overall, an excellent platform for both beginners and professionals!",tradingview essential tool traders analysts charting features indicators customization options topnotch community insights realtime data make market analysis much easier however would great see improvements speed advanced alerts free users overall excellent platform beginners professionals,0,0.5462482,-0.19596322,-1
"doesn't get any better, very nice, MooMoo definitely needs it for a boost, together they're a pretty good team, you hear that Ninja traitor? moo moo in my opinion is for the stupid people because your charts an instruments are off the wall but the more you have I guess the better you are I just like roll the dice seems to work out bet small win big, just kidding they're all designed to take our money",get better nice moomoo definitely needs boost together pretty good team hear ninja traitor moo moo opinion stupid people charts instruments wall guess better like roll dice seems work bet small win big kidding designed take money,2,0.007848702,0.0991826,-1
I am using the Trading view web version. Best Software with continuous addition of useful features. Excellent Charts and good data feed.,using trading view web version best software continuous addition useful features excellent charts good data feed,0,0.4421039,-0.23580892,-1
"TradingView has been a game-changer in my trading journey. The app offers powerful charting tools, real-time data, and a wide range of technical indicators that make market analysis efficient and accurate. Its user-friendly interface and smooth performance allow me to track stocks, forex, and crypto with ease. I particularly enjoy the ability to set alerts, create custom watchlists, and learn from the TradingView community by exploring shared trading ideas. Whether you're a beginner or an experi",tradingview gamechanger trading journey offers powerful charting tools realtime data wide range technical indicators make market analysis efficient accurate userfriendly interface smooth performance allow track stocks forex crypto ease particularly enjoy ability set alerts create custom watchlists learn tradingview community exploring shared trading ideas whether beginner experi,0,0.52143264,-0.18047915,-1
"In fact, the UI/UX design on TradingView is top notch. I love the seamlessness. I would really be overjoyed if TradingView could integrate Synthetic indices to the assets. With this, more users will be onboarded. I cannot wait!",fact uiux design tradingview top notch love seamlessness would really overjoyed tradingview could integrate synthetic indices assets users onboarded wait,0,0.31388342,-0.073045954,-1
"This is by far one of the best apps I've experienced. Its just transformed my ability to make decisions based on data. Being new to trading, I find it very easy to understand the data and how it's laid out. 5 stars and highly recommended!",far one best apps experienced transformed ability make decisions based data new trading find easy understand data laid stars highly recommended,0,0.4238664,0.0444347,1
"TradingView is a top-tier charting platform known for its clean interface, powerful tools, and real-time data. It supports custom scripts (Pine Script), has a large trading community, and integrates with brokers for live trading. Ideal for both beginners and pros.",tradingview toptier charting platform known clean interface powerful tools realtime data supports custom scripts pine script large trading community integrates brokers live trading ideal beginners pros,0,0.53812146,-0.27909347,-1
